Year;Crime Type;Male 12-14	;Female 12-14	;Male 15-17;Female 15-17;Male 18-24	;Female 18-24	;Male 25-34;Female 25-34;Male 35-44;Female 35-44;Male 45-54;Female 45-54;Male 55-64;Female 55-64;Male 65 +;Female 65 +;Male Unknown;Female Unknown
2020;Homicide;32.0;1.0;  320;2.0; 1 580;  44; 1 817;56.0; 1 203;38.0;  619;18.0;  272;3.0;71.0;2.0;2.0;
2020;Assault;19.0;;  329;11.0; 9 105;  191; 15 037;388.0; 9 413;285.0; 4 087;114.0; 1 197;38.0;223.0;5.0;3.0;
2020;Sexual crimes;174.0;1.0;  393;4.0; 1 073;  6; 1 273;7.0;  952;7.0;  618;4.0;  289;;88.0;;1.0;
2020;Kidnapping;69.0;;  281;8.0; 1 481;  39; 1 583;59.0;  769;34.0;  295;21.0;  76;8.0;26.0;;;
2020;Defamation;1.0;;  6;;  571;  41; 1 442;67.0; 1 261;71.0;  630;32.0;  172;9.0;27.0;2.0;2.0;
2020;Theft;884.0;49.0; 4 401;138.0; 15 557;  889; 10 206;824.0; 3 988;447.0; 1 276;183.0;  308;66.0;49.0;10.0;4.0;
2020;Robbery;268.0;9.0; 1 199;22.0; 2 734;  85; 1 919;80.0;  722;44.0;  185;17.0;  53;3.0;6.0;2.0;1.0;
2020;Swindling;;;  50;2.0; 1 439;  105; 2 967;186.0; 2 476;149.0; 1 126;71.0;  310;23.0;53.0;1.0;;
2020;Production and commerce of drugs;27.0;9.0;  311;24.0; 3 442;  168; 4 370;238.0; 2 190;158.0;  891;79.0;  262;29.0;40.0;3.0;;
2020;Use and purchase of drugs;3.0;;  249;19.0; 4 345;  110; 4 741;87.0; 1 421;28.0;  309;5.0;  52;;4.0;;1.0;
2020;Forgery;2.0;1.0;  18;5.0;  696;  63; 2 065;107.0; 2 062;92.0; 1 126;45.0;  322;8.0;38.0;;;
2020;Bad treatment;1.0;;  1;;  7;  11;  36;32.0;  20;12.0;  14;3.0;  2;3.0;;;;
2020;Embezzlement;;;;;  5;  1;  26;5.0;  83;10.0;  52;6.0;  19;1.0;1.0;;;
2020;Bribery;;;;;  17;;  30;;  33;;  21;;  8;;;;;
2020;Smuggling;;;  12;;  446;  7; 1 104;27.0;  954;22.0;  545;26.0;  211;8.0;46.0;3.0;;
2020;Traffic crimes;;;  13;; 1 820;  21; 5 323;91.0; 4 654;70.0; 2 480;13.0;  812;;65.0;;1.0;
2020;Forestry crimes;;;;;  19;  1;  132;6.0;  166;6.0;  186;5.0;  115;3.0;32.0;1.0;;
2020;Crimes related with firearms and knifes;4.0;;  32;; 1 996;  27; 3 413;35.0; 2 162;17.0;  808;2.0;  254;3.0;47.0;1.0;;
